Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Ukraine,UKR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.9518559353178,7.88671745611133,2.73249209419427,9.36313917695223,20.1836366617478,12.8490222828559,6.50198464669254,..
Ukraine,UKR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.78298734021753,5.74537475260131,-6.35283133086966,14.2035625361842,-17.4170622880223,8.92995904307345,7.68597754912052,..
Ukraine,UKR,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-4.9140091077667,-2.67995732261758,3.36296552669264,-1.94327499620701,4.9237752939142,-5.27751897924565,-7.93850256012182,..
Ukraine,UKR,"Population, total",SP.POP.TOTL,45208907,44957458,44680014,44298640,41048766,37732836,37860221,..
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.74296344906655,1.90843194590616,-5.03823343468899,5.95052802804381,4.18903628100851,1.52874550838358,1.55479521049516,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426,2.38158383281173,..
Canada,CAN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.49782854843774,-0.108156466291973,-9.41715543169542,8.35794349084334,7.53862321971405,0.34322864501199,0.724587899184328,..
Canada,CAN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.38507161087906,-1.95170274818579,-2.01049352658992,-0.0219632282728957,-0.288416485092606,-0.633319898544557,-0.461253819279705,..
Canada,CAN,"Population, total",SP.POP.TOTL,37072620,37618495,38028638,38239864,38935934,40083484,41288599,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675,4.9773565917572,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.07479039965576,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,0.234836828893051,0.218128938439177,..
China,CHN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..,..,..,..
China,CHN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,0.170563391928727,0.706790487310518,1.65930095801393,1.93875176197337,2.42059259149418,1.4415829879426,2.2616499482671,..
China,CHN,"Population, total",SP.POP.TOTL,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.13569604599849,0.977734697038784,-4.13191443239947,3.90999994204108,1.8092581243061,-0.869647578573321,-0.495851897260366,..
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,5.94643667725823,2.2564981433876,..
Germany,DEU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.02096268968633,3.46925191936447,-8.13889426710104,9.33000033424265,7.56425452215119,-1.40306119009635,-0.560586423345441,..
Germany,DEU,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,8.43761219902202,7.87471222403171,6.34782686016016,6.9200696637534,3.85045627175846,5.51222510245724,5.77188467199732,..
Germany,DEU,"Population, total",SP.POP.TOTL,82905782,83092962,83160871,83196078,83177813,83287273,83516593,..
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.80724541059601,2.19807571335009,-2.65365450102773,5.86649177292595,-1.43588213859842,4.08252481259281,4.34437475491529,..
Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.87831382614981,4.47202631837903,3.38219796948068,6.69445891957612,13.7436797398232,5.86571931748967,8.43486410496723,..
Russian Federation,RUS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.65674762824806,3.1303579725994,-11.8811245801517,19.1113457880392,-14.9900097681862,..,..,..
